;ANO;NUTS_III;CODIGO_CONCELHO;Concelho;zona rqs;saifi at num;saidi at min;maifi at num;tiepi mt min;end mt mwh;saifi mt num;saidi mt min;maifi mt num;saifi bt num;saidi bt min;ligacao_auxiliar_mapa;codigo_concelho_sem_digitos;distrito
9362;2015;Área Metropolitana do Porto;104;Arouca;Zona C;0;0;1;54,5056;5,62606;1,64901;86,3495;12,6074;1,59508;72,1441;1;1;Aveiro
9363;2015;Viseu Dão Lafões;1817;Sátão;Zona A;0;0;0;0;0;0;0;0;0;0;1;18;Viseu
9364;2015;Beiras e Serra da Estrela;909;Mêda;Zona C;0;0;0;52,7743;1,68477;5,32475;72,2102;32,0421;4,69233;76,7009;1;9;Guarda
9365;2015;Cávado;303;Braga;Zona C;0;0;0;17,8538;9,92889;0,876653;19,4755;4,27297;1,02715;27,4939;1;3;Braga
9366;2015;Médio Tejo;1419;Torres Novas;Zona C;0;0;0;50,8285;7,34857;1,44205;45,0365;7,66577;1,50245;42,832;1;14;Santarém
9367;2015;Baixo Alentejo;209;Mértola;Zona A;0;0;0;0;0;0;0;0;0;0;1;2;Beja
9368;2015;Beiras e Serra da Estrela;902;Almeida;Zona C;0;0;0;28,9229;1,45927;2,32727;41,6597;21,7252;2,31669;49,9535;1;9;Guarda
9369;2015;Alentejo Litoral;1501;Alcácer do Sal;Zona C;0;0;0;89,826;5,7747;2,97951;107,022;31,0697;3,07671;120,299;1;15;Setúbal
9370;2015;Alto Alentejo;1213;Ponte de Sor;Zona A;0;0;0;0;0;0;0;0;0;0;1;12;Portalegre
9371;2015;Terras de Trás-os-Montes;402;Bragança;Zona B;0;0;0;0;0;0;0;0;0;0;1;4;Bragança
9372;2015;Alentejo Central;711;Reguengos de Monsaraz;Zona B;0;0;0;2,45719;0,113502;0,15493;7,84366;10,9412;0,0525168;4,89328;1;7;Évora
9373;2015;Alto Alentejo;1210;Marvão;Zona A;0;0;0;0;0;0;0;0;0;0;1;12;Portalegre
